customer_text,expected_intent,predicted_intent,intent_confidence,top_retrieval_score,retrieval_strength,reply,response_status
@AppleSupport how to listen music on Apple Music? There ain’t any option in my phone😬,media_playback_issue,media_playback_issue,0.99,0.8422764539718628,STRONG,,EMPTY_OR_INVALID
So stressed with @115858 @AppleSupport literally I’m a student living 160 miles away from home with a MacBook that isn’t working hardware fault still under warrantee why is no one helping me get it sorted 😭😭,hardware_repair_or_damage,hardware_repair_or_damage,0.5827333927154541,0.784793496131897,STRONG,,EMPTY_OR_INVALID
"@AppleSupport I can't access work emails from my Macbook Pro? It asks for passcode then AppleID verification, but doesn't provide a box.",icloud_photos_or_mail,authentication_or_code,0.5330946445465088,0.7419482469558716,STRONG,,EMPTY_OR_INVALID
@AppleSupport It just goes through or appears to go through. The missed imessage/SMS texts that are coming to me are intermittent. Some are coming through. Some are not. I reset to factory settings and it was/is still happening.,messaging_or_communication,messaging_or_communication,0.99,0.819782555103302,STRONG,,EMPTY_OR_INVALID
"@AppleSupport I can’t log onto my mac, every time I enter my password it goes to log in but takes me back to the log in page. Please help:)",authentication_or_code,authentication_or_code,0.8787232041358948,0.879837155342102,STRONG,,EMPTY_OR_INVALID
@AppleSupport So when I am connecting to WIFI I am able to use the network when my phone is on but as soon as My phone gets inactive for a few minutes WIFI shows connected but I can’t acces the internet unless I disconnecr and connect again I7 on IOS11.1.2,connectivity_issue,connectivity_issue,0.99,0.7545468807220459,STRONG,,EMPTY_OR_INVALID
Bruh my iPad won’t even connect to WiFi nor will the settings app open WTF @AppleSupport,connectivity_issue,connectivity_issue,0.99,0.8092917203903198,STRONG,,EMPTY_OR_INVALID
@AppleSupport @115858 Facing some Wifi Issues on Iphone 6S Ios 11. Wifi runs even after switch off in control center...,connectivity_issue,connectivity_issue,0.9076402187347412,0.8400331735610962,STRONG,,EMPTY_OR_INVALID
"@ATT @AppleSupport having problems with my iPhone, always freezing, always restarting itself, shutting off. Help please!!!",device_performance,device_performance,0.8966875672340393,0.8786475658416748,STRONG,,EMPTY_OR_INVALID
"hi @AppleSupport, iOS 11 rlly fucked up my phone and i’m pissed. help a broke college student out and send ya girl a new phone?? pls & thx",hardware_repair_or_damage,hardware_repair_or_damage,0.4064241051673889,0.8057718276977539,STRONG,We’d be happy to help. Please DM us details about the issue you’re experiencing and we’ll get started.,VALID
iOS 11 is trash😂 @AppleSupport literally my music just pauses randomly or it’ll just randomly change the song when I use literally any app,media_playback_issue,media_playback_issue,0.9347800016403198,0.8652279376983643,STRONG,"We’re here to help. Are you using the default Music app or another player, and does this happen when you’re not using headphones?",VALID
@AppleSupport where all my pictures and videos gone?,icloud_photos_or_mail,icloud_photos_or_mail,0.8816325068473816,0.92716383934021,STRONG,We want to help get those back for you. Could you DM us your iPhone model and iOS version to begin?,VALID
"@AppleSupport -having issues with my apps on Iphone6S. Text messaging, Instagram, & now my battery being eaten alive. From 40% to 10 in minutes. Then dies. WTH. Plz give us answers, Thanks",battery_issue,app_crash_or_freeze,0.841072678565979,0.7660219669342041,STRONG,,EMPTY_OR_INVALID
"@AppleSupport bluetooth is automatically on, the brightness adjusts itself, battery runs down really quickly, music will not download, what’s up w/this??",connectivity_issue,connectivity_issue,0.9092304110527039,0.8090618848800659,STRONG,,EMPTY_OR_INVALID
@AppleSupport I’ve not tried texting anyone unsure why it’s coming up,messaging_or_communication,messaging_or_communication,0.725326657295227,0.8710013628005981,STRONG,We want to help. Have you tried restarting your device and checking to see if the message appears again?,VALID
Top tip to waste your day go to @AppleSupport store Stratford for a repair find a 3hr wait to drop off a Mac pay 1000s to be treated like 💩,hardware_repair_or_damage,hardware_repair_or_damage,0.8442093729972839,0.7155507802963257,STRONG,We want to help! Please DM us with more details about your repair experience so we can look into it.,VALID
@AppleSupport Thanks managed to get it to work. No place to check/change password. It was frustrating but handled.,authentication_or_code,authentication_or_code,0.904792308807373,0.8946053981781006,STRONG,,EMPTY_OR_INVALID
@115858 I’ve been trying to redownload Instagram for an eternity and it’s not working help,app_crash_or_freeze,app_crash_or_freeze,0.8409422039985657,0.7468769550323486,STRONG,,EMPTY_OR_INVALID
"@AppleSupport Almost every time I’m listing to music it thinks I’m not, I can’t change the song, and the volume buttons don’t work at certain times.",media_playback_issue,media_playback_issue,0.9321246147155762,0.8050153255462646,STRONG,"We’re happy to help! Please DM us with the music app you’re using when this happens, and we can continue from there.",VALID
@AppleSupport why is your account recovery process so ridiculous? I entered my password *correctly* thrice and it’s given me this rubbish.,authentication_or_code,authentication_or_code,0.9115139245986938,0.8247535228729248,STRONG,,EMPTY_OR_INVALID
