customer_text_clean,brand_response_clean,intent,label_confidence
"@AppleSupport I’ve forgotten my Apple ID password and it’s going to take 2 weeks for you to send me info. Any other password on the planet you get to create a new one straight away, this needs sorting",@250322 For further assistance with this issue we'd recommend reaching out to our Account Security experts here:,authentication_or_code,0.67212784
"Every time i switch to another app my music is gone -,- @AppleSupport",@210824 We'd be more than happy to look into it with you. Which device are you currently using?,media_playback_issue,0.6505657
Ever since the new iOS update my phone has been all kinds of fcked up @115858 please fix this,@611821 That’s not what we want to hear. Can you let us know what you’ve noticed via DM and we’ll start from there?,ios_update_issue,0.7121265
@AppleSupport can you explain to me why my phone has froze and I haven't been able to do anything 7 different times today? Starting to get really frustrating. I can't even reset it sometimes.,@690160 That should not be happening. Let us help. Send us a DM and tell us more about what's happening. Let us know which iOS version you're using.,device_performance,0.75150186
WTF! I think i just lost all my photos on my iPhone.... what the hell?! @AppleSupport,@249897 We love our pictures too. Could you tell us a little more about what happened?,icloud_photos_or_mail,0.6878632
"@AppleSupport Why is my iPhone changing the capital ""I"" to ""A""s and ""?"" marks? I've reset the keyboard several times and nothing. I've now turnned off all keyboard settings. What a pain!",@185628 Here’s what you can do to work around the issue until it’s fixed in a future software update:,system_ui_keyboard_or_notification_bug,0.7367271
@115858 My friends are trying to add me into our iMessage group chat but it’s saying that I’m not registered for iMessage.. I’ve done everything o can think of and I’ve used iMessage multiple times but for some reason is not working?,"@245851 We want to ensure you're able to communicate with all your friends at once, as needed. In order to assist, we need some information from you. Meet us in DM with the following details: - Current iOS version installed: - Specifics of the issue:",messaging_or_communication,0.62613714
@AppleSupport Could you help me with a problem I'm having with activation lock? I would like to use my phone asap!,"@289539 Sure, we can do our best to help. DM us more details, and we'll go from there.",authentication_or_code,0.65753376
@AppleSupport I am having an issue with my display. Green line keeps coming up randomly. Restore and set up as new did not fix the issue. Help!!,"@782222 Thanks for reaching out, we're here to help you find the right solution to this issue. Please send us a DM and we'll look further into this issue together.",hardware_repair_or_damage,0.6322508
The new iPhone update stay turning on my WiFi bruh!!! 😡😤 @115858,"@188220 We want to help. With iOS 11, you can turn off Wi-Fi and Bluetooth in Settings. More information is here:",connectivity_issue,0.5833374
@AppleSupport I️ can’t type the letter I️.... what’s up with that,"@153209 We'd like to look into this with you. To start, send us a DM with your device and the software version it's running.",system_ui_keyboard_or_notification_bug,0.65996414
@115858 @AppleSupport Very poor battery life of my new iPhone 7. I think there is a problem with my battery.,@522465 Let's check into this together. DM us which iOS version you're using and we'll work from there:,battery_issue,0.7061813
