gold_id,customer_text_clean,semantic_intent,semantic_confidence,bert_predicted_intent,bert_confidence,gold_intent,review_notes
176,"@AppleSupport Unable to hear from the receiver. Also, camera won’t load now. And alarm doesn’t work when phone is on silent, woke up late for work yday 😂",icloud_photos_or_mail,0.47698662,information_or_how_to,0.21958856,app_crash_or_freeze,Reviewed
10,"So, I’m stuck here @115858 @AppleSupport. My MacBook will not boot at all. Any suggestions?",hardware_repair_or_damage,0.4771201,ios_update_issue,0.22777456,hardware_repair_or_damage,Reviewed and corrected
256,@AppleSupport I’ve carried out a reset network settings,connectivity_issue,0.4588191,connectivity_issue,0.28189346,connectivity_issue,Reviewed and corrected
44,@AppleSupport I am struggling to make phone calls :-( phone is just slow to respond to anything,device_performance,0.47301465,connectivity_issue,0.28543073,device_performance,Reviewed and corrected
87,WHY DOESNT MY PHONE WORK @AppleSupport,connectivity_issue,0.48689646,device_performance,0.2795663,connectivity_issue,Human reviewed
224,@AppleSupport @115858 that has been suggested to me has made my issue worse. I am so disappointed with Apple.,authentication_or_code,0.45484483,information_or_how_to,0.31837085,hardware_repair_or_damage,Human reviewed
222,@115858 WTF ?? #Iphone7 #IOS11,information_or_how_to,0.50056666,information_or_how_to,0.27302903,information_or_how_to,Human reviewed
210,@AppleSupport the media player is broken on 11.2 beta 3. Requires restart to get it to function properly,media_playback_issue,0.4945372,hardware_repair_or_damage,0.28014725,media_playback_issue,Reviewed and corrected
173,@AppleSupport do something about my I️ phone not working 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,icloud_photos_or_mail,0.5010206,information_or_how_to,0.2770939,media_playback_issue,Human reviewed
88,"@115858 I understand you guys have launched 3 new phones but for the love of god, stop messing with the operating system of your old users. I use an iPhone 6s and it hangs every other minute since I’ve updated my iOS. I might switch to Samsung if this problem isn’t fixed soon.",device_performance,0.48996022,ios_update_issue,0.30295923,ios_update_issue,Reviewed and corrected
120,@AppleSupport why is my IPhone 7+ replacing I with a question mark in a box? I’m on iOS11.1 😅 not cool,system_ui_keyboard_or_notification_bug,0.46115977,information_or_how_to,0.33704805,system_ui_keyboard_or_notification_bug,Reviewed and corrected
72,whenever i screen record a video there’s sound for the first few seconds then it goes pls help @AppleSupport,media_playback_issue,0.48187396,hardware_repair_or_damage,0.3165454,media_playback_issue,Reviewed and corrected
29,@AppleSupport yes i have followed al ur step dear apple u can see d and i have apply ur all troubleshot process but it failed u can see the cmt below that video 2 al r in same trouble. we need a urgnt help phone is not activated from almost a month,authentication_or_code,0.5013609,information_or_how_to,0.30985525,authentication_or_code,Reviewed and corrected
1,@AppleSupport fix your shit. It’s been doing this to me since I updated my phone to this update.,system_ui_keyboard_or_notification_bug,0.46864393,ios_update_issue,0.34412557,device_performance,Human reviewed
284,@AppleSupport how do I use the wide angle picture taking feature on the iPhone 7 Plus?,information_or_how_to,0.4555137,hardware_repair_or_damage,0.36076018,information_or_how_to,Reviewed and corrected
137,"@AppleSupport my iPhone x has been ""activating"" for 20 minutes....I have a feeling this isn't normal.",authentication_or_code,0.47727162,device_performance,0.34031406,authentication_or_code,Reviewed and corrected
213,@AppleSupport when are u going to fix the locking issue with iPhone 8? Ran a fix but the problem is back.,ios_update_issue,0.4950237,information_or_how_to,0.32352892,media_playback_issue,Human reviewed
232,"@AppleSupport @498619 it only works occasionally, any other possible solutions??",icloud_photos_or_mail,0.49465957,information_or_how_to,0.32602254,,Skipped - insufficient context
163,@AppleSupport after a hard reset. I have whatever came on the iPhone 8 plus. Have not installed 11.1,ios_update_issue,0.48095837,hardware_repair_or_damage,0.34317803,battery_issue,Human reviewed
76,@AppleSupport where is the device management setting option in ios 11 now? I can’t find it,information_or_how_to,0.52338094,ios_update_issue,0.30198577,information_or_how_to,Reviewed and corrected
122,"fix it, my dudes .... @115858 @AppleSupport",authentication_or_code,0.45320556,information_or_how_to,0.37710443,app_crash_or_freeze,Human reviewed
212,"@AppleSupport How to disable forever and ever ""Live Photo""? This is the most dishonest and invasive compulsory resource ever imposed on the iPhone.",information_or_how_to,0.4544439,information_or_how_to,0.3849519,information_or_how_to,Reviewed and corrected
280,@AppleSupport check my dms please,icloud_photos_or_mail,0.49562013,information_or_how_to,0.35153884,information_or_how_to,Reviewed and corrected
99,"@AppleSupport @115858 please fix your next phone update, the voice texting used to be good and now it’s horrible",messaging_or_communication,0.46195984,ios_update_issue,0.38728142,messaging_or_communication,Reviewed and corrected
61,@AppleSupport your email app does my fudging head in!! fudging fix it !! the least you could do for the amount of money I'm paying for your products!,icloud_photos_or_mail,0.51102096,messaging_or_communication,0.34733215,icloud_photos_or_mail,Reviewed and corrected
74,@AppleSupport is there any way i can recover them without reseting the phone?,hardware_repair_or_damage,0.4558873,information_or_how_to,0.40307242,authentication_or_code,Human reviewed
20,@AppleSupport 800-My-Apple already helped. thank you.,authentication_or_code,0.46034446,hardware_repair_or_damage,0.40607882,ios_update_issue,Human reviewed
239,Just got the #iPhoneX. Major problem / #bug #1: it won’t let me enter phone numbers to text / message people. Like....wut. #apple @115858 @AppleSupport #nonewfriends I guess?,messaging_or_communication,0.50173,messaging_or_communication,0.36904764,device_performance,Human reviewed
97,#iPhone software stuck on Apple logo. @115858 @AppleSupport worst software 😬 Lost my data,hardware_repair_or_damage,0.49403313,authentication_or_code,0.37687612,connectivity_issue,Human reviewed
30,Worked fine 2 houers ago @AppleSupport,icloud_photos_or_mail,0.4844122,information_or_how_to,0.40352044,media_playback_issue,Human reviewed
174,"@AppleSupport No error message, it allows me to click the button and then just doesn’t quit the application",app_crash_or_freeze,0.46036908,authentication_or_code,0.42787835,authentication_or_code,Human reviewed
103,"@AppleSupport Yes the first time, and when i closed it and opened it again it was fixed.",app_crash_or_freeze,0.46313763,information_or_how_to,0.42577803,hardware_repair_or_damage,Human reviewed
78,iOS 11 remains incredibly buggy on my 6S Plus. Very dissatisfied over the past few weeks with the performance issues and battery life on my phone @115858,battery_issue,0.53178877,battery_issue,0.35743022,system_ui_keyboard_or_notification_bug,Human reviewed
123,Awful service in @115858 store today! Phone is less than a week old and clearly doesn’t work but they can’t help me without the box?! Great when you need your phone for work and it’s totally unreliable. @AppleSupport #iphoneproblems,hardware_repair_or_damage,0.51722455,hardware_repair_or_damage,0.37339127,icloud_photos_or_mail,Human reviewed
170,"@AppleSupport iPhone 6, & it started acting up this week like crazy. I know y'all just trying to push the new one on me by slowing the bandwidth of the 6s",device_performance,0.54498,information_or_how_to,0.35087726,messaging_or_communication,Human reviewed
132,@AppleSupport It’s on sometimes it work when I restart my iPhone 6s,connectivity_issue,0.46461135,information_or_how_to,0.4351562,information_or_how_to,Human reviewed
153,"iPhone glitch ruining a nice moment. @115858 fix it, I️ ain’t got time for your games 🙅🏼‍♀️",system_ui_keyboard_or_notification_bug,0.49094155,ios_update_issue,0.41091678,device_performance,Human reviewed
106,@AppleSupport please check DM,icloud_photos_or_mail,0.45497262,information_or_how_to,0.44801578,battery_issue,Human reviewed
15,@AppleSupport I just noticed that one side of my iPhone Lightning Cable corroded? All its been doing is sitting on my desk.,hardware_repair_or_damage,0.48611268,hardware_repair_or_damage,0.4192266,media_playback_issue,Human reviewed
165,"@239236 @245554 @AppleSupport @115858 I tried this, it only worked for several hours and crashed again every five minutes😔😔",app_crash_or_freeze,0.48951045,hardware_repair_or_damage,0.4194827,information_or_how_to,Human reviewed
207,@AppleSupport can I turn off the live option on my camera? I don’t like that live is on automatically when I open my camera.,information_or_how_to,0.51881355,information_or_how_to,0.3911787,connectivity_issue,Human reviewed
110,"@AppleSupport WiFi & calling broken, 50% increase in battery drain, iOS freezes. Seriously? Did y'all bother to do any tests at all?",battery_issue,0.48439482,battery_issue,0.43019333,device_performance,Human reviewed
