customer_text,expected_intent,predicted_intent,intent_confidence,classification_source,top_retrieval_score,retrieval_strength,failure_category
"@AppleSupport -having issues with my apps on Iphone6S. Text messaging, Instagram, & now my battery being eaten alive. From 40% to 10 in minutes. Then dies. WTH. Plz give us answers, Thanks",battery_issue,app_crash_or_freeze,0.841072678565979,distilbert,0.7660219669342041,STRONG,Other classification error
@115858 Why did you ruin my keyboard with your latest iOS update? I HATE IT,ios_update_issue,system_ui_keyboard_or_notification_bug,0.7356674671173096,distilbert,0.876539945602417,STRONG,Update vs system UI ambiguity
"Why do I always update my iPhone? New @115858 updates ALWAYS slow it down, so I have to buy a new one or be frustrated. I’ve had enough, 3rd iPhone that’s a POS now.",device_performance,ios_update_issue,0.8793796300888062,distilbert,0.8015004396438599,STRONG,Update vs performance ambiguity
@AppleSupport ur srvice is very bad my iPhone in service center on date 16.10.17 after many folloups i have no update - SN no.-F2LT56F8HFYD,ios_update_issue,hardware_repair_or_damage,0.2650662958621979,distilbert,0.7329944372177124,STRONG,Other classification error
"@AppleSupport I can't access work emails from my Macbook Pro? It asks for passcode then AppleID verification, but doesn't provide a box.",icloud_photos_or_mail,authentication_or_code,0.5330946445465088,distilbert,0.7419482469558716,STRONG,Mail/account ambiguity
"My iPhone and iPad r a mess after I updated to #ios1103. Apps don’t work well, calendar is the worst! Tried @AppleSupport 2x, didn’t fix",ios_update_issue,app_crash_or_freeze,0.9031805992126465,distilbert,0.7491475939750671,STRONG,Other classification error
@AppleSupport Yessir and it said the same thing when I tried logging in,authentication_or_code,messaging_or_communication,0.3535582721233368,distilbert,0.8756992816925049,STRONG,Account vs communication ambiguity
Every time I’m on the subway my iPhone thinks I’m driving and tries to turn functions off. Thanks so much for this terrible update @115858,ios_update_issue,hardware_repair_or_damage,0.38933756947517395,distilbert,0.7273215651512146,STRONG,Other classification error
updated my iPhone but the “I” thing still is not fixed 🚮 @AppleSupport @115858,ios_update_issue,hardware_repair_or_damage,0.49338918924331665,distilbert,0.8649507761001587,STRONG,Other classification error
@115858 @AppleSupport : Your latest iOS update made my iPhone sluggish and slow. Any suggestion to remedy this? Thanks.,device_performance,ios_update_issue,0.8322163224220276,distilbert,0.8903387784957886,STRONG,Update vs performance ambiguity
